word	x	y	nearest
coffee	9.97798230203	-34.3293304307	0.345
breakfast-room	56.7592451565	-44.1337557297	0.325
weakness	-48.0790946203	-21.054464543	0.755
heaven	33.1672403314	92.4170204589	0.728
penetration	17.0655826792	-60.2351216931	0.321
beaux	0.501982388926	-36.4090442533	0.453
cautiousness	52.2481486814	66.1561358066	0.600
rumour	-25.7027038572	-43.732488807	0.538
gloom	-5.30248551985	-68.6768202963	0.400
meat	41.0247188026	78.4581294425	0.602
discomposure	-4.46554486773	2.36989909465	0.279
mistrust	65.0401089208	-6.56034792164	0.224
good	-52.240732082	14.9560220234	0.858
victory	-38.7524498995	-48.1566972731	0.607
side	-68.5833657067	86.4800306103	0.959
bone	22.6834933385	-18.7601740998	0.241
lasting	-25.2846907492	-54.3528470078	0.659
interruption	39.4176128157	-31.0143013655	0.303
taught	61.0766919493	-3.34109179557	0.315
fortnight	-77.3573877973	67.8061870264	0.960
message	-69.2152005943	8.50051397925	0.836
whip	7.09245070624	-22.0967877581	0.263
misfortune	-72.7806874395	-15.1635937063	0.748
safety	-63.0960350412	-59.2158016298	0.590
remorse	61.5242191384	20.4612170201	0.299
ingenuousness	-0.0763295855184	-13.3797677339	0.340
self-deception	13.6371869441	7.52081576672	0.248
reader	-60.6158425783	-19.4081489528	0.730
surprise	-32.0976706631	89.9841655981	0.987
independence	-53.9806139251	-54.8744658209	0.631
foundation	45.0437638664	-0.0475402695913	0.319
associate	68.0034204079	-0.646996600958	0.259
revenge	33.4440679529	65.2110316102	0.490
formation	54.9276778319	-26.2700578938	0.285
rain	-44.195011826	-63.2216354748	0.688
amazement	-58.1378724269	-23.5700095408	0.754
mistress	-72.5519765333	2.20452612025	0.807
shrubbery	-35.8521708064	-50.7918033932	0.596
needlework	63.9405850896	39.3013928845	0.365
steward	-45.7390678211	8.88063230525	0.850
caprice	49.0019112025	48.1950165061	0.471
penury	17.8831832916	-17.1690484793	0.294
decency	63.0624921088	-40.8994223243	0.232
accent	-47.7006313452	-38.5903147242	0.674
rank	30.9770719633	85.700947452	0.766
hearing	-71.9710533674	59.8481201211	0.955
peculiarity	-54.1043057105	-65.9260826301	0.600
service	-62.4384371061	17.7530256654	0.851
bequest	61.7664936252	41.559651232	0.366
top	57.8034810649	8.45256285306	0.266
infancy	-81.165966752	-22.5260877374	0.761
master	-66.3754830174	-1.88179723325	0.818
ceiling	10.0145909736	22.3305744958	0.236
gentlemanlike	-57.9128107102	-10.3653223394	0.790
wisdom	34.5960580881	11.5843843233	0.233
symptom	77.6808371093	-4.6080666852	0.274
distance	-44.6681108936	-56.7808537605	0.498
exultation	-57.6325956837	-26.397330019	0.683
bitterness	-68.1495622711	-47.9983253877	0.666
project	10.2326487269	-50.3122359699	0.436
matter	-64.4940373603	85.6256250074	0.969
idle	-24.4945527902	-19.0112202964	0.461
guilt	-57.2750879345	11.0141609697	0.860
speaking	-59.3880841566	81.591147229	0.974
barouche	-71.7964382446	1.83679912306	0.830
mirth	-68.817596717	-57.1523010574	0.657
feeling	-45.9709247051	87.4050901347	0.979
acquisition	-75.6473778439	-9.25048400321	0.790
bridge	-49.4000710695	-62.2421334319	0.651
fashion	-33.5676390978	-55.0920011024	0.531
handkerchief	42.5146705698	70.5630906062	0.616
rattle	51.0902531966	12.3256557204	0.255
mind	-53.4826545811	82.1325930713	0.951
mine	45.4481456777	-67.6585585908	0.351
manner	-61.5436277406	39.8526854413	0.917
dozen	43.7564792013	68.1743285003	0.615
strength	-64.6745637069	51.847257175	0.924
hymen	68.6113671927	-16.1947000991	0.230
elegance	-61.4376526513	40.4971139572	0.916
niece	-65.6032872087	2.95468646993	0.853
impediment	-64.0372306357	-25.1582001021	0.689
imprudent	49.9753545602	-57.9206605929	0.343
though	-59.744813379	16.3951519989	0.866
object	-62.5136672776	84.5667315954	0.974
mouth	70.0046899469	36.9527023947	0.379
letter	-17.8780627515	89.0005820502	0.991
proverb	43.7411548491	69.5822011309	0.618
inconsistency	51.7699212686	43.1160778631	0.302
morality	4.0119784272	-74.4155470238	0.392
constancy	9.40806282544	-13.9213880386	0.324
observation	23.9560816432	94.0688727781	0.850
grove	-34.6963031007	-41.8082770153	0.530
alarm	-73.0447651668	76.7239836121	0.966
clock	-71.8262699991	-57.9325752924	0.678
flow	46.5905539292	34.5963172551	0.318
reputation	65.5808707517	21.1145732808	0.292
aunt	-11.1252017928	88.5054773791	0.992
principle	-45.4951197916	4.77035096606	0.858
notion	-16.3066626449	-32.7970639389	0.312
urgency	33.843854	-30.2697740568	0.337
reserve	-1.31210809341	-68.8205703624	0.385
rapture	-15.0617784745	-56.0983530318	0.555
visitor	-14.4631212935	-69.4184478668	0.409
dupe	15.6893558073	-9.26309922293	0.230
brilliancy	33.6200254422	69.4297130082	0.674
uneasiness	40.1306758365	5.472014881	0.229
rector	-38.9814479208	-49.7154071847	0.659
nephew	-59.3162604919	44.4636220238	0.930
four-and-twenty	3.9069118931	-10.0359551743	0.262
adoration	-3.741522245	-55.7366878957	0.446
resemblance	47.3685219047	69.1919760289	0.675
spite	-72.6569441976	65.8357259527	0.961
guidance	11.7501659199	-68.0290647896	0.336
refreshment	32.1412826373	56.7425059132	0.661
door-bell	57.0976271073	48.679353337	0.472
bliss	-4.33077736565	-21.6000348966	0.362
disgust	-69.028320929	-2.7647213095	0.825
lodge	81.001976456	15.9905460219	0.256
dullness	30.7261478235	-55.9838715039	0.242
plate	53.4299717538	-9.46174709077	0.265
mixture	-46.6869520076	-38.245101807	0.612
stop	34.9768742844	-12.7435228459	0.218
leisure	38.3907150237	-29.6874822061	0.307
degradation	68.1411388409	25.1448932512	0.391
pocket	27.6663970829	-49.7950542288	0.325
wedding	-67.9578897515	45.6467289257	0.924
report	-24.5902224522	-59.0285001126	0.554
dressing-room	-41.3265169406	19.3004655625	0.868
earl	-14.4697374606	-47.8842611276	0.559
method	-7.07710638481	1.00982214726	0.298
troop	63.4325575294	-47.9930370474	0.231
release	33.2503234372	-61.2714505873	0.343
elopement	3.06282785694	-56.4488411636	0.305
penance	46.1077424965	66.8338295765	0.549
observer	3.33768790085	-24.3506258837	0.430
habit	-29.2413008986	-37.5399279985	0.527
expediency	-9.68749980132	-34.1452409228	0.426
detection	18.2181842292	14.4677054844	0.390
result	71.8555220635	30.9858213252	0.402
half-an-hour	-23.7778570005	-25.7228254317	0.477
best	39.9328003066	28.3109111813	0.308
subject	-47.9178538976	86.8522328006	0.979
diffidence	10.624031935	-34.0756693723	0.322
gentility	54.9877815941	27.9670952938	0.344
capacity	51.0361134338	23.421965585	0.302
playfulness	25.7800761826	-35.0287475249	0.258
temptation	4.37594441598	-23.16625653	0.387
gentleman	-67.3173100582	41.8025828384	0.912
solicitude	49.6142976603	79.5717082019	0.615
mud	31.5549581013	-50.9470759442	0.314
score	67.4579239796	26.111192309	0.394
approach	-75.5712853465	-21.1205018595	0.761
discovery	-38.8427182594	-57.5912549963	0.588
nature	-70.7570120588	60.8352897352	0.940
confusion	75.7667083448	36.2729124347	0.345
ignorance	45.9786980106	82.343311699	0.642
toilette	-63.1779164821	-24.7287017802	0.661
extent	-50.9081002739	-10.6857485624	0.790
disservice	10.4551555103	-1.94789982845	0.241
cousin	-69.0487153443	77.7761233877	0.967
motto	5.80780441606	-45.5692121208	0.318
debt	58.0126085987	-44.3407965336	0.243
kitchen	-49.9596572467	-59.3008830576	0.691
pity	-53.9999126063	87.7581715753	0.979
accident	-81.7747610802	-35.3072643927	0.679
disdain	51.356129327	34.5999308906	0.402
country	-25.5974698827	92.3289623217	0.987
ill	-71.1075978474	56.9324759122	0.950
matrimony	-64.4268583481	18.1784444577	0.858
self-denying	60.9179848279	9.39400743879	0.284
variance	31.3075679588	2.81191767127	0.217
expense	-69.1031894187	12.36908924	0.869
tone	-72.7840985096	50.8240420151	0.943
trunk	34.2387861771	-22.3191443021	0.297
height	37.663769667	-53.6049331149	0.273
comprehension	51.9928651769	-48.5885074115	0.302
trust	-54.6487966761	36.8267056705	0.915
longbourn	-67.4552172363	82.4827188995	0.971
speak	27.3189421468	-56.7262693044	0.342
gratitude	-69.1175547674	77.21418625	0.969
generality	34.6749463611	14.8803446194	0.239
basis	67.8603653356	-42.0405010434	0.213
union	20.729934927	-35.7987991891	0.327
commission	-71.4758509667	-48.5252877844	0.678
interest	-40.4831367995	89.2611184147	0.981
privilege	-69.0154250286	-30.0605318054	0.711
warmth	-62.2773328366	83.3119306832	0.970
life	-9.99651864972	89.396419737	0.994
efficacy	58.4261713976	16.6040446738	0.276
inattention	50.2369296389	-34.8260756143	0.260
search	-62.7710868751	-17.0523510707	0.734
substance	-65.9779293497	-19.1359229264	0.746
child	-73.6512303972	53.7213568974	0.933
exception	45.8856817092	-18.735057005	0.259
apprehension	-47.4303041372	-65.0837445084	0.572
arm-in-arm	36.8072269085	34.6523010661	0.334
twelvemonth	-66.1158260759	-50.7544694343	0.723
air	-22.6956780659	-76.1643591223	0.491
near	40.244752219	36.8188399474	0.385
stopping	41.7843561205	70.4166678032	0.551
coarseness	23.0457907991	-15.7994923412	0.243
